target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,4.241903448104859,0.11978934912762912,0.04245576858520508,0.004298547142661338,10.0,0.5,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.610515894575403,-23.17312609681524,-23.813115282700114,-25.373614203509312,-24.519486071904307,-24.297971509900872,0.7488821886357718,11
identity,2.838246536254883,0.5385696839660035,0.023900699615478516,0.003910656324264037,10.0,1.0,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.03104340682651,-32.232725137421546,-32.88440024630001,-32.9523976009637,-32.56038720066216,-32.732190718434786,0.2966324514212701,21
identity,74.20808367729187,2.1380181250651336,0.08286280632019043,0.004759178582564337,100.0,0.1,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.6140377616183,-19.710272305725507,-20.325607788046717,-22.876800491069563,-21.86549258511512,-21.27844218631504,1.1295177728733405,6
identity,32.62534151077271,1.7575740894679224,0.046867895126342776,0.0031868207809190147,100.0,0.5,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-24.611564775114584,-23.179022810023273,-23.814089391030432,-25.37157241890652,-24.519403118463895,-24.299130502707744,0.7464814782263045,12
identity,16.658441257476806,0.6976242607261857,0.024333667755126954,0.004456876111048786,100.0,1.0,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-33.036838960591226,-32.23063157064636,-32.888047311021836,-32.95438021561179,-32.56099623999144,-32.73417885957254,0.2991051207222803,23
identity,0.8697232723236084,0.022472093867478088,0.19730525016784667,0.0174909039318795,0.1,0.1,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.605341138286065,-19.667893999516842,-20.30622797366821,-22.896943798372664,-21.862255644475137,-21.267732510863784,1.1494121104714214,1
identity,0.4716193199157715,0.018516502467884742,0.09868068695068359,0.0037745595673898554,0.1,0.5,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.683377207745004,-23.216608234278205,-23.85587937012958,-25.436139354000414,-24.57028215380492,-24.352457263991628,0.7573724561898346,16
identity,0.27392969131469724,0.010420820119539636,0.04984865188598633,0.0045162326092783815,0.1,1.0,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.124082100652465,-32.298571861190965,-32.947676065936854,-33.039415234751225,-32.63728933441052,-32.80940691938841,0.3038485054987273,26
identity,0.8825427532196045,0.014316051701536936,0.19271068572998046,0.015166706724564105,0.5,0.1,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.687278142179647,-19.722956971129477,-20.346774623930152,-22.93117555297602,-21.908026872354707,-21.319242432514002,1.1466705453607433,7
identity,0.5321497917175293,0.016859188821339816,0.11031794548034668,0.005877979807268963,0.5,0.5,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.755917601902077,-23.26679513371188,-23.892451592359098,-25.46561627594921,-24.6104929897327,-24.398254718730993,0.7547537493358407,17
identity,0.3335853099822998,0.02749027378703777,0.06763310432434082,0.017104852982936118,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.156085996637074,-32.35486440936118,-32.96553670187351,-33.075235904268204,-32.67336818918668,-32.845018240265325,0.2946192591962763,27
identity,1.2717252254486084,0.0411336018790805,0.210801362991333,0.02461294360650607,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.758929346525267,-19.785231682923424,-20.394147541999583,-22.957166133366915,-21.945226005542366,-21.36814014207151,1.1371023412327748,8
identity,0.5829273700714112,0.03277677482583632,0.11152634620666504,0.01038386382668996,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.80896667471319,-23.295119167122987,-23.912017126574007,-25.494264727847114,-24.649900503844577,-24.432053640020378,0.7590614017168,18
identity,0.3430757522583008,0.015610941553826623,0.0622349739074707,0.007432406890217551,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.18151409406761,-32.38129920056789,-33.00056666014579,-33.09328842056687,-32.71213018864692,-32.873759712799014,0.292447285439351,28
