target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
log1p,1.2954805374145508,0.09870239413304403,0.338180685043335,0.027017327134903898,0.1,0.1,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.355754543777294,-48.01999754806492,-48.63548160968703,-49.73227745746953,-46.45747504861974,-48.64019724152371,1.362697481007532,15
log1p,0.9710916996002197,0.03886564645579099,0.25052289962768554,0.016177969902716683,0.1,0.5,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.37117238848166,-48.20280517465352,-48.712869172704856,-49.734228152548006,-46.51842114502398,-48.7078992066824,1.331824886886502,16
log1p,0.49367556571960447,0.006974398144694626,0.13269572257995604,0.011020096778981829,0.1,1.0,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.476012078327635,-48.62651540660889,-49.114163438865596,-49.9917197478356,-46.9328654351647,-49.02825522136049,1.231559764474018,27
log1p,1.4026873588562012,0.12563941730964043,0.3538003921508789,0.032125079764794354,0.5,0.1,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.235056019970386,-47.676593380300915,-48.59528752223431,-49.47842651722742,-46.231390297399756,-48.44335074742655,1.39895391696463,3
log1p,1.0639211654663085,0.03398180197739373,0.24774017333984374,0.017342554053594302,0.5,0.5,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.22488639415616,-47.85526588140769,-48.596381969082515,-49.364983478970174,-46.27382714786715,-48.46306897429673,1.3488830285501727,4
log1p,0.5514735221862793,0.00968545738949165,0.1458362579345703,0.013639270871046353,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.32808140156338,-48.36823947825426,-49.01503277676343,-49.79055353928316,-46.753057190594106,-48.850992877291674,1.2430493815224817,24
log1p,1.6878024578094482,0.04913491805623538,0.6064458370208741,0.34944219632021206,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.27860573429243,-47.58313767111647,-48.59259606920215,-49.42547322475733,-46.251986931203575,-48.42635992611439,1.4068118612684635,1
log1p,1.6534842491149901,0.17589613798316983,0.23617339134216309,0.009666426529198737,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.22287107592869,-47.773169584087,-48.604858536896415,-49.33712403324274,-46.24646225022242,-48.43689709607545,1.3613861806860401,2
log1p,0.5605482578277587,0.021441112622797413,0.13762326240539552,0.006815638816984758,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-50.32982887042417,-48.268305732412635,-49.03983377471311,-49.74876330274404,-46.72146980581255,-48.8216402972213,1.2568765625092426,21
log1p,2.1094847202301024,0.05483525534771542,0.30797085762023924,0.01404517671279775,10.0,0.1,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-51.223286764114064,-47.41082838284267,-49.28986302872409,-49.54209997032028,-47.2689240187115,-48.947000432942524,1.4716618293587767,25
