target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
log1p,12.059612655639649,2.3836504959638463,2.6768173217773437,0.31403701043311943,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.56245451153703,-21.749661454290777,-22.406878037814224,-21.954113100278107,-21.7648021535904,-21.887581851502105,0.2877150025844987,22
log1p,29.19231233596802,0.518267026692535,7.176149892807007,0.5949109710176365,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-20.98997606451194,-21.15841403231544,-21.858567991407234,-21.39716815098671,-21.097176884328697,-21.300260624710006,0.3094311406552302,8
log1p,19.566765546798706,0.7050527334166072,4.34593710899353,0.06225859819869341,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.058379451508404,-21.219604546615596,-21.91531859769445,-21.42825154074219,-21.172356183726215,-21.35878206405737,0.3029606051315537,16
log1p,11.134764575958252,0.5372656666420649,3.219083070755005,1.3867377132923997,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.576060886805177,-21.76993817977091,-22.414499243944856,-21.966566617478133,-21.775607905002868,-21.900534566600392,0.2851193354409994,23
log1p,46.53006472587585,0.49990341337372407,6.339237403869629,0.10596110774778593,10.0,0.1,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.083293240869946,-21.235162029715244,-21.95015676767074,-21.495365786662312,-21.200311485446203,-21.39285786207289,0.30947125300413675,17
log1p,29.960507917404176,1.6778289998360258,4.842365694046021,0.32904062168415305,10.0,0.5,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.147589720829362,-21.309756035330306,-21.98189483131586,-21.503370790014074,-21.29752627824757,-21.448027531147435,0.28986537635245635,18
log1p,17.20779356956482,0.12404576952522355,2.560566282272339,0.04962046763104349,10.0,1.0,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.643869138171283,-21.86324826378084,-22.49822851291308,-22.040503136353394,-21.864087689868043,-21.981987348217327,0.2871418677810837,29
log1p,187.6871971607208,1.718931388972976,10.813979768753052,3.8105385985028257,100.0,0.1,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.586629093024293,-21.647500891626578,-22.261568861652574,-21.883965326532365,-21.771497947991612,-21.830232424165484,0.23879760539810455,20
log1p,132.22949767112732,7.781005142341779,4.104151487350464,0.5659489170351378,100.0,0.5,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.478905129532247,-21.634649632879405,-22.23530695857773,-21.773160415373706,-21.846398772369994,-21.79368418174662,0.25401124759077814,19
log1p,79.39785771369934,4.186682861925726,2.2581063747406005,0.07184642552031043,100.0,1.0,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.835101757737327,-22.036013030099024,-22.76720877951523,-22.217155716158352,-22.05137340730674,-22.181370538163335,0.31699121485421106,30
